jp-ja,en-us
過民と充来曲ての知恵を授けるといわれる悪魔バラム。↵その47個に散った魂の一つが宿った指輪。,"Ring bearing one of the 47 scattered shards of↵the great devil Balam, guardian of knowledge."
キャメロットの旬說に冬場する妖しき水の妖精・↵ニミュエが身につけていたとされる髮飾り。,Coif worn by the water nymph Nimje in the↵tales of the old land.
キャメロットの旬說に冬場する偉大な魔導師にして↵暗黑道に堕ちた魔女モルガンの幼け爪。,Nails worn by the evil sorceress Morrighan↵in the tales of the old land.
キャメロットの旬說に冬場する吐き賢者マリーンの↵指輪。悪魔と人間のハーフであることの証らしい。,"Ring worn by the sage Marlene, said to prove↵her half—devil, half—human blood."
グリップ«FA0C»ダガー/ソード/ロングソード吉,Grip for Daggers/Swords/Great Swords.
グリップ«FA0C»アックス/メイス/スタッフ吉,Grip for Axes/Maces/Staves.
グリップ«FA0C»スピア吉,Grip for Polearms.
アロー«FA0C»クロスボウ吉,Bolt for Crossbows.
シールド,Shield
ヘルム,Helm
ブレストアーマー,Breast Armor
レッグスアーマー,Leggings
グローブ,Glove
このカテゴリーに属するアイテムを持っていない。,You have no items in this category.
称生:«FF00»«FF01»,Class: «FF00»«FF01»
↵«FF09»製«FA0C»«FF08»«F79F»«FF07»系/«FF06»手装備«F7A0»,↵«FF09» «FF08»(«FF07»/«FF06»Handed)
↵«FF05»,↵«FF05»
↵«FF09»製«FA0C»«FF08»,↵«FF09» «FF08»
NONE,NONE
秘回が装着されていない。,No gem attached.
セットアップを終了します。,Ends setup.
武器攻擊力。↵高いほど武器による直接攻擊力が上がる。,Weapon attack strength.↵Increases physical weapon damage.
魔法攻擊力。↵高いほど魔法による攻擊力や半復力などが上がる。,Magic attack strength.↵Increases magic potency.
重量による素早さの変化値。↵攻擊命中率や半避率に影響を与える。,Speed attribute based on weight.↵Increases chance to hit and evade attacks.
防御力。↵高いほど武器や特殊攻擊に対する防御力が上がる。,Defense strength.↵Increases resistance to physical attacks.
魔法防御力。↵高いほど魔法に対する防御力が上がる。,Magic defense strength.↵Increases resistance to magical attacks.
重量による素早さの変化値。↵攻擊命中率や半避率に影響を与える。,Speed attribute based on weight.↵Increases chance to hit and evade attacks.
装備中のアイテムを破棄することはできません。,You cannot discard equipped items.
セットされているアイテムを↵個別に破棄することはできません。,You cannot individually discard items↵that are part of a set.
このアイテムを破棄することはできません。,You cannot discard this item.
«FA10»使吉,«FA10»USE
道具を使吉する。,Use an item.
«FA10»サーチ,«FA10»SEARCH
アイテムがセットされているウェポンやシールドを↵サーチする。,Finds the weapon or shield to which this↵item is attached.
«FA10»破棄,«FA10»DISCARD
アイテムを破棄する。↵道具は破棄する個数を設定できる。,Discard an item.↵You can discard multiples of misc. items.
«FA10»一括破棄,«FA10»DISCARD ALL
アイテムをまとめて破棄する。,Discard all of the selected items.
«FA10»ソート,«FA10»SORT
アイテムをさまざまな条成で並び替えする。↵カテゴリーによってソート条成は異なる。,Arranges items by various criteria.↵Sorting criteria vary by category of item.
"このアイテムはセットアップされていないため,↵サーチすることはできません。","This item is not part of a set,↵and thus cannot be searched."
このアイテムを使吉することはできません。,You cannot use this item.
